Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,10,"TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III
PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO
(PGCIL)
(N18000416)
(ANDHRA PRADESH)",3-2025,"2,886.00
(N.A.)
{2,886.00}","3/2027
(N.A.)
{3/2027}"
,11,"TRANSMISSION SCHEME FOR EVACUATION OF POWER FROM
RATLE HEP (850 MW) & KIRU (624 MW): PART B
(PGCIL)
(N18000417)
(JAMMU AND KASHMIR)",3-2025,"219.00
(N.A.)
{219.00}","3/2027
(N.A.)
{3/2027}"
,12,"BILASIPURA- GUWAHATI ROAD PKG-2
(NHIDCL)
(N24002229)
(ASSAM)",11-2023,"1,338.61
(N.A.)
{1,338.61}","6/2027
(N.A.)
{6/2027}"
,13,"BADARPUR ? CHURAIBARI PKG-6
(NHIDCL)
(N24002230)
(ASSAM)",3-2024,"870.00
(N.A.)
{870.00}","3/2027
(N.A.)
{3/2027}"
,14,"KARIMGANI - SUTARKANDI SECTION ON SILCHAR-CHURAIBARI
PKG-7
(NHIDCL)
(N24002231)
(ASSAM)",2-2024,"791.79
(N.A.)
{791.79}","2/2027
(N.A.)
{2/2027}"
,15,"IMPHAL-KOHIMA ROAD PKG-5A
(NHIDCL)
(N24002232)
(MANIPUR)",9-2020,"228.97
(N.A.)
{228.97}","8/2026
(N.A.)
{8/2026}"
,16,"DAINADUBI-DARUGIRI PKG-1B
(NHIDCL)
(N24002233)
(MEGHALAYA)",3-2023,"705.83
(N.A.)
{705.83}","3/2027
(N.A.)
{3/2027}"
,17,"WIDENING TO 4L FROM KM.108.50 TO 139.00 OF NH-135A PKG-
II (JAUNPUR TO AKBARPUR SECTION) ON HAM IN TH
(MoRTH)
(N24002234)
(UTTAR PRADESH)",3-2023,"1,511.57
(N.A.)
{1,511.57}","3/2027
(N.A.)
{3/2027}"
,18,"CONSTRUCTION OF RAEBARELI RING ROAD (PHASE-2) WITH
FOUR LANE CONFIGURATION FOR RAEBARELI CITY IN THE
(MoRTH)
(N24002235)
(UTTAR PRADESH)",3-2022,"1,273.72
(N.A.)
{1,273.72}","5/2027
(N.A.)
{5/2027}"
