S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,120,"174,830","172,568","56,469"
2,Steel,20,"19,267","22,505","8,278"
3,Metals & Mining,10,"14,436","16,873","6,383"
4,Construction,3,"1,546","1,546",711
