S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,701372,SARDAR SAROVAR PROJECT,"20,718","33,413","31,861",93
2,701415,POLAVARAM IRRIGATION PROJECT,"10,151","55,549","25,292",84
3,701405,J. CHOKKA RAO DEVADULA LIFT IRRIGATION SCHEME,"8,201","14,730","4,665",87
4,400112,JIGAON IRRIGATION PROJECT,"7,223",,"9,035",90
5,701386,GOSIKHURD PROJECT,"7,196","12,770","13,838",72
