S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Healthcare,44,"22,607","27,023","11,466"
2,Education,31,"16,072","15,520","8,928"
3,Real Estate,12,"50,258","50,324","16,546"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",624
