S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Education,30,"12,754","12,685","8,277"
2,Real Estate,13,"48,889","48,889","6,979"
3,Healthcare,4,"4,848","5,186","2,705"
4,"Tourism, Hospitality & Wellness",2,"5,751","6,639","4,957"
