S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRES
(%)S"
1,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM
PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY","43,367","43,367","5,596",30.7
2,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","27,518",94
3,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","33,114",96.8
4,604795,CBR 9 MMTPA PROJECT,"31,580","36,354","1,590",10.2
5,701329,PETROCHEMICAL AND LUBE INTEGRATION PROJECT AT GUJARAT REFINERY,"18,936","17,825","75,183",89.2
