S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Healthcare,37,"21,179","25,631","9,930"
2,Education,30,"15,618","15,066","8,503"
3,Real Estate,6,"37,591","37,582","13,929"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",546
