S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,705728,MUMBAI-AHMEDABAD HIGH SPEED RAIL PROJECT- 508 KM,"108,000","108,000","87,755",58
2,705237,WESTERN DEDICATED FREIGHT CORRIDOR,"51,101","124,005","124,623",96
3,705429,RISHIKESH-KARNAPRAYAG NEW RAIL LINE- 125 KM,"38,953","38,953","27,881",73
4,706780,MUMBAI URBAN TRANSPORT PROJECT [MUTP] PHASE-IIIA,"33,690","33,690","3,218",20
5,705941,BANGALORE SUBURBAN RAILWAY PROJECT,"15,767","15,767","2,659",19
