S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,93,"353,990","385,767","186,037"
2,Transmission & Distribution,61,"142,977","145,116","49,396"
3,Electricity Generation,36,"270,930","324,546","152,918"
4,Energy Storage,17,"82,155","114,517","90,144"
