Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,88,"CONSTRUCTION OF 2 LANE WITH HARD SHOULDER FROM
DESIGN CHAINAGE KM 283.000 TO KM 325.440 (5- LEGGED J
(NAGALAND)
(N24001475)
(NHIDCL)",605.36,12-2024,273.21
,89,"CONSTRUCTION OF CHHIATHLANG -SERCHHIP BYPASS
(PKG-1) ON AIZAWL-TUIPANG SECTION OF NH-54
(MIZORAM)
(N24001277)
(NHIDCL)",275.02,10-2022,237.68
,90,"2-LANING OF CHANGTONGYA TO LONGLENG ROAD OF NH-
702 (PKG-I)
(NAGALAND)
(N24001286)
(NHIDCL)",278.95,06-2022,166.29
,91,"FOUR LANING OF JIND GOHANA GREENFIELD ALIGNMENT
PACKAGE 1 IN THE STATE OF HARYANA UNDER HYBRID
ANNUI
(HARYANA)
(N24001536)
(NHAI)",817,07-2022,986.08
,92,"BALANCE WORK 2-LANE WITH PAVED SHOULDERS OF
NAGAPATTINAM - THANJAVUR SECTION OF NH-67 (NEW
NH-83)
(TAMIL NADU)
(N24001600)
(NHAI)",434.12,05-2023,268.92
,93,"FOUR LANING OF BHAVNAGAR-TALAJA SECTION OF NH-8E
FROM KM. 7.090 TO KM. 53.585 (DESIGN CH FROM KM. 6.
(GUJARAT)
(N24000567)
(NHAI)",998.18,08-2019,802.89
,94,"AKOLA TO AKOT
(MAHARASHTRA)
(N24001003)
(MoRTH)",313.95,06-2019,270.02
,95,"REHABILATION AND UPGRADATION TO TWO LANES WITH
PAVED SHOULDER CONFIGURATION FROM WATUR TO
CHARTHANA
(MAHARASHTRA)
(N24001895)
(MoRTH)",228.01,09-2023,106.11
,96,"KOLHA TO NASRATPUR
(MAHARASHTRA)
(N24001111)
(MoRTH)",281.78,04-2019,77.83
