S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,89,"349,436","378,613","182,909"
2,Transmission & Distribution,65,"149,516","156,031","57,067"
3,Electricity Generation,35,"270,284","329,637","160,640"
4,Energy Storage,16,"81,301","120,224","91,359"
