Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning
Original
(Revised)
{Anticipated}
(MM/YYYY)"
COAL,1,"WAGHODA UG
(WCL)
(N06000293)
(MAHARASHTRA)",1-2025,"379.30
(N.A.)
{379.30}","3/2030
(N.A.)
{3/2030}"
,2,"KOLARPIMPRI EXPANSION OCM (2.50 MTY)
(WCL)
(N06000294)
(MAHARASHTRA)",2-2025,"630.37
(N.A.)
{630.37}","3/2030
(N.A.)
{3/2030}"
,3,"JARANGDIH OCP
(CCL)
(N06000295)
(JHARKHAND)",2-2020,"414.37
(N.A.)
{414.37}","3/2029
(N.A.)
{3/2029}"
RAILWAYS,4,"MURARAI - BARHARWA 3RD LINE (48.90 KM)
(ER)
(N22000632)
(WEST BENGAL)",5-2025,"935.19
(N.A.)
{935.19}","5/2028
(N.A.)
{5/2028}"
"ROAD TRANSPORT
AND HIGHWAYS",5,"CONSTRUCTION OF BASTI RING ROAD (PHASE-I) WITH
4L CONFIGURATION FOR BASTI CITY IN THE STATE OF
UTTAR
(MoRTH)
(N24002245)
(UTTAR PRADESH)",12-2022,"1,138.72
(N.A.)
{1,138.72}","6/2027
(N.A.)
{6/2027}"
Grand Total,,,,"3,497.95
(-)
{3,497.95}",
