Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,26,"HIMAYATNAGAR TO PHULSAWANGI
(MoRTH)
(N24001081)
(MAHARASHTRA)",294.87,12/2019,183.17
,27,"SELDOH TO PANVAR
(MoRTH)
(N24001097)
(MAHARASHTRA)",404.33,05/2020,140.65
,28,"SATARA MURVAD PILLOV PANDHARPUR
(MoRTH)
(N24001095)
(MAHARASHTRA)",388.44,N.A.,240.05
,29,"KOLHA TO NASRATPUR
(MoRTH)
(N24001111)
(MAHARASHTRA)",281.78,04/2019,77.83
,30,"KUMBHARI PHTA TO DEULGAON RAJA
(MoRTH)
(N24001127)
(MAHARASHTRA)",406.51,06/2019,340.26
,31,"WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED
SHOULDER CONFIGURATION AND GEOMETRIC
IMPROVEMENTS FRO
(NHIDCL)
(N24000859)
(MIZORAM)",642.96,06/2023,686.42
,32,"REHABILITATION AND UPGRADATION TO 2 LANE WITH
PAVED SHOULDER OF MOGA (DESIGN CH 0.000) TO
MAKHU (DES
(MoRTH)
(N24000941)
(PUNJAB)",293.64,08/2020,295.46
,33,"CONSTRUCTION OF 2 LANING OF EXISTING HUNLI-
ANINI ROAD ON EPC BASIS FROM DESIGN KM 53.500 TO
KM 92.50
(NHIDCL)
(N24000948)
(ARUNACHAL PRADESH)",568.92,12/2019,508.65
,34,"CONSTRUCTION OF CHHIATHLANG -SERCHHIP BYPASS
(PKG-1) ON AIZAWL-TUIPANG SECTION OF NH-54
(NHIDCL)
(N24001277)
(MIZORAM)",275.02,10/2022,237.68
,,Total,"22,819.05",,"18,457.95"
