S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRESS
(%)"
1,400231,NLC TALABIRA THERMAL POWER PROJECT,"27,213","27,213","3,518",3.54
2,619032,JAYANT EXPN. [20 TO 38 MTPA],"25,560","25,560",257,2.02
3,400424,GEVRA OC [70 MTY],"11,816","11,816","6,960",78.48
4,400185,GOPALJI KANIHA OCP [10 TO 30 M,"8,416","6,108","1,777",35.69
5,400150,RPR MAGADH EXP OCP,"6,964","6,964","2,298",39.42
