S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Education,29,"15,419","14,867","8,254"
2,Healthcare,22,"16,604","18,613","5,998"
3,Real Estate,6,"37,591","37,591",811
4,"Tourism, Hospitality & Wellness",1,573,"1,238",546
