Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,10,"AUGMENTATION OF BANASKANTHA (RAGHANESDA) PS (GIS)
(PGCIL)
(N18000412)
(GUJARAT)",3-2025,"172.00
(172.00)
{172.00}","3/2027
(N.A.)
{3/2027}"
,11,"TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV
REZ PHASE-I (FOR 4.5 GW)
(PGCIL)
(N18000413)
(ANDHRA PRADESH)",3-2025,"5,000.00
(5,000.00)
{5,000.00}","3/2027
(N.A.)
{3/2027}"
,12,"RAJASTHAN REZ PH-V (PART-1: 4 GW) [SIROHI/NAGAUR]
COMPLEX
(PGCIL)
(N18000414)
(RAJASTHAN)",3-2025,"5,028.00
(5,028.00)
{5,028.00}","3/2027
(N.A.)
{3/2027}"
,13,"AUGMENTATION AT FATEHGARH-II PS, FATEHGARH-IV PS
(SECTION-II) AND BARMER-I
(PGCIL)
(N18000415)
(RAJASTHAN)",3-2025,"404.00
(404.00)
{428.00}","12/2026
(N.A.)
{12/2026}"
,14,"TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS
FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO
(PGCIL)
(N18000416)
(ANDHRA PRADESH)",3-2025,"2,886.00
(2,886.00)
{2,886.00}","3/2027
(N.A.)
{3/2027}"
,15,"TRANSMISSION SCHEME FOR EVACUATION OF POWER FROM
RATLE HEP (850 MW) AND KIRU (624 MW): PART B
(PGCIL)
(N18000417)
(JAMMU AND KASHMIR)",3-2025,"219.00
(219.00)
{219.00}","3/2027
(N.A.)
{3/2027}"
,16,"NOKH SOLAR PV PROJECT 735 MW
(NTPC)
(N18000418)
(RAJASTHAN)",3-2022,"4,189.17
(4,378.17)
{4,378.17}","4/2024
(01-07-2025)
{7/2025}"
,17,"TRANSMISSION SCHEME FOR INTEGRATION OF DAVANAGERE
/ CHITRADURGA AND BELLARY REZ IN KARNATAKA
(PGCIL)
(N18000419)
(KARNATAKA)",3-2025,"3,453.00
(3,453.00)
{3,453.00}","3/2027
(N.A.)
{3/2027}"
,18,"IMPLEMENTATION OF LILO OF BOTH CIRCUITS OF 400KV
VIDHYACHAL PS TO SASAN D/C LINE AT HINDALCO SWITCHY
(PGCIL)
(N18000420)
(HARYANA)",2-2025,"370.00
(370.00)
{370.00}","12/2026
(N.A.)
{12/2026}"
