Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,28,"AKOLA TO AKOT
(MoRTH)
(N24001003)
(MAHARASHTRA)",313.95,06/2019,270.02
,29,"AJANTHA TO BULDHANA
(MoRTH)
(N24001008)
(ANDAMAN AND NICOBAR ISLANDS )",401.00,07/2019,246.39
,30,"BHANDARA TO GHOTITOK
(MoRTH)
(N24001018)
(MAHARASHTRA)",392.83,06/2019,264.35
,31,"AMDI TO SAONER
(MoRTH)
(N24001021)
(MAHARASHTRA)",396.91,06/2019,253.59
,32,"RALEGAON TO RAMTIRTH
(MoRTH)
(N24001046)
(MAHARASHTRA)",210.81,07/2019,132.00
,33,"PUNE TO MALE VILLAGE
(MoRTH)
(N24001078)
(MAHARASHTRA)",228.31,12/2019,113.29
,34,"ARDHAPUR TO HIMAYATNAGAR
(MoRTH)
(N24001079)
(MAHARASHTRA)",426.06,06/2020,268.96
,35,"MALE VILLAGE TO PUNE RAIGARH DISTRICT BORDER
(MoRTH)
(N24001080)
(MAHARASHTRA)",256.15,12/2019,115.53
,36,"KOLDE TO KHETIYA
(MoRTH)
(N24001090)
(MAHARASHTRA)",509.18,07/2019,246.83
,37,"KURUDWADI TO PANDHARPUR
(MoRTH)
(N24001101)
(MAHARASHTRA)",307.63,07/2019,208.22
