Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,18,"FOUR LANING OF POONDIYANKUPPAM (KM.67/000) TO
SATTANATHAPOURAM (KM.123/800) SECTION OF NH-45A ON
HAM
(NHAI)
(N24001430)
(TAMIL NADU)","2,120.40",01/2022,"1,588.17"
,19,"CONSTRUCTION OF 2 LANE WITH HARD SHOULDER FROM
DESIGN CHAINAGE KM 283.000 TO KM 325.440 (5- LEGGED J
(NHIDCL)
(N24001475)
(NAGALAND)",605.36,12/2024,273.21
,20,"CONSTRUCTION OF 4-LANE NH-344P-PACKAGE-4 (FROM KM
0+000 TO KM 29+600, 29.6KM), STARTING FROM BAWANA
(NHAI)
(N24001532)
(HARYANA)",694.00,11/2023,"1,466.82"
,21,"CONSTRUCTION OF 4-LANE GREEN FIELD DELHI-AMRITSAR-
KATRA EXPRESSWAY (NE-05) FROM JUSSUR KHERI ON KMP
(NHAI)
(N24001533)
(HARYANA)","1,690.23",12/2023,"1,462.45"
,22,"CONSTRUCTION OF FOUR-LANE GREENFIELD DELHI-
AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH
ROHTAK-PANIP
(NHAI)
(N24001534)
(HARYANA)","1,334.04",01/2024,"1,048.12"
,23,"FOUR LANING OF JIND GOHANA GREENFIELD ALIGNMENT
PACKAGE 1 IN THE STATE OF HARYANA UNDER HYBRID
ANNUI
(NHAI)
(N24001536)
(HARYANA)",817.00,07/2022,986.08
,24,"2L PS OF SATNA - MAIHAR SECTION OF NH-135BG FROM KM
80.800 TO KM 120.125
(NHAI)
(N24001616)
(MADHYA PRADESH)",428.04,10/2023,351.97
,25,"BAKHTIYARPUR RAJAULI PKG-III FROM KM 101.630 TO KM
152.520 NH20
(NHAI)
(N24001708)
(BIHAR)","2,156.22",06/2024,"1,397.72"
,26,"6L OF KANHAULI RAMNAGAR PATNA RING ROAD PKG I
FROM KM 0.000 TO KM 39.160 OF SH78 NEW NH131G
(NHAI)
(N24001711)
(BIHAR)",939.43,03/2023,"1,030.75"
