Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,9,"TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN
REGION EXPANSION SCHEME-XXVIII AND XXIX
(PGCIL)
(N18000355)
(CHHATTISGARH)",260.30,03/2025,197.79
,10,"IMPROVEMENT AND UP-GRADATION OF EXISTING
ROAD TO 4L PS FROM KM 175.080 TO 229.070, FROM
END OF HARDO
(NHAI)
(N24001728)
(UTTAR PRADESH)","1,138.81",07/2025,528.10
,11,"CONSTRUCTION OF 8LANE EXPRESSWAY NE4
STARTING BEFORE KMP EXPRESSWAY AND ENDS AT
CH. 47+000 NEAR KHAN
(NHAI)
(N24001783)
(HARYANA)","2,252.75",09/2021,"1,223.07"
,12,"SANCHORE - SANTALPUR FROM KM 4.888 - KM 35.000
OF NH-754K (AJ-RGBS-PACKAGE-1)
(NHAI)
(N24001791)
(GUJARAT)",606.51,06/2023,453.89
,13,"4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION
(DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING
BATH
(MoRTH)
(N24001931)
(ANDHRA PRADESH)",536.00,02/2025,334.06
,14,"NH167B FROM KM 99.103 CS PURAM TO KM 143.320
MALAKONDA TO 2LPS
(MoRTH)
(N24001949)
(ANDHRA PRADESH)",277.30,03/2024,206.25
,15,"NH167B FROM KM.143.320 MALAKONDA TO 189.050
SINGARAYAKONDA ON NH 16 TO TWO LANE WITH
PAVED SHOULDERS
(MoRTH)
(N24001950)
(ANDHRA PRADESH)",369.81,02/2025,303.78
,16,"2 LANE WITH PAVED SHOULDER CONFIGURATION
FROM SEETHARAMAPURAM TO DUTTALURU SECTION
OF NH-167 BG FROM
(MoRTH)
(N24002141)
(ANDHRA PRADESH)",364.07,07/2025,227.21
