S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,115,"185,702","183,440","48,865"
2,Steel,18,"17,812","21,050","10,474"
3,Metals & Mining,6,"9,689","13,843","7,514"
4,Construction,2,899,899,260
