Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,44,"4-LANNING OF WARANGA-MAHAGAON SECTION(KM
253.7000 TO 320.580)
(MAHARASHTRA)
(N24000659)
(NHAI)",1059.73,03-2017,928.19
,45,"NH167B FROM KM.143.320 MALAKONDA TO 189.050
SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED
SHOULDERS
(ANDHRA PRADESH)
(N24001950)
(MoRTH)",369.81,02-2025,303.78
,46,"KUMBHARI PHTA TO DEULGAON RAJA
(MAHARASHTRA)
(N24001127)
(MoRTH)",406.51,06-2019,340.26
,47,"CONSTRUCTION OF 4-LANE NH-344P-PACKAGE-4 (FROM
KM 0+000 TO KM 29+600, 29.6KM), STARTING FROM
BAWANA
(HARYANA)
(N24001532)
(NHAI)",694,11-2023,1466.82
,48,"SANCHORE - SANTALPUR FROM KM 4.888 - KM 35.000 OF
NH-754K (AJ-RGBS-PACKAGE-1)
(GUJARAT)
(N24001791)
(NHAI)",606.51,06-2023,453.89
,49,"WIDENING OF RAEBARELI TO PRAYAGRAJ SECTION FROM
KM. 82.650 TO KM. 161.450 OF NH-30 AND LINK ROAD FRO
(UTTAR PRADESH)
(N24002085)
(NHAI)",1470.93,03-2025,1088.3
,50,"2L PS OF SATNA - MAIHAR SECTION OF NH-135BG FROM
KM 80.800 TO KM 120.125
(MADHYA PRADESH)
(N24001616)
(NHAI)",428.04,10-2023,351.97
,51,"MALE VILLAGE TO PUNE RAIGARH DISTRICT BORDER
(MAHARASHTRA)
(N24001080)
(MoRTH)",256.15,12-2019,115.53
,52,"2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE
KM 21.427 TO 64.00 ] OF NH-752G]
(MAHARASHTRA)
(N24001889)
(MoRTH)",277.81,07-2021,155.01
