Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,9,"VARANASI-MODHOSINGH-ALLAHABAD DOUBLING
(RVNL)
(N22000401)
(UTTAR PRADESH)","2,018.23",12/2024,"1,780.22"
,10,"2880.4
(ECR)
(N22000417)
(UTTAR PRADESH)","2,880.40",08/2024,"3,074.78"
,11,"EXECUTION OF RAIL CONNECTIVITY PROJECT FOR COAL
TRANSPORTATION IN ODISHA FOR MCRL
(IRCON)
(N22000418)
(ODISHA)","5,200.00",03/2020,389.00
,12,"KARAILA ROAD - SHAKTINAGAR DOUBLING
(ECR)
(N22000419)
(UTTAR PRADESH)",762.97,08/2024,808.96
,13,"MANSA-BHATINDA (PHASE-I), INCL. NEW MATERIAL
MODIFICATION FOR RAMA MANDI (RAMAN) - SADA
SINGHWALA VI
(NR)
(N22000502)
(PUNJAB)",404.00,08/2016,190.00
,14,"DARBHANGA - BYPASS LINE CONNECTING SHISHO HALT
AND KAKARGHATI EXCL DARBHANGA YARD (7.64 KM)
(ECR)
(N22000523)
(BIHAR)",983.62,06/2025,417.57
,15,"AZIMGANJ-MURSHIDABAD (JIYAGANJ) INCL. RLY. BRIDGE
OVER RIVER BHAGIRATHI
(ER)
(N22000609)
(WEST BENGAL)",164.33,02/2024,160.82
,16,"MEHSANA PALANPUR DOUBLING PROJECT 65.10 KMS
(WR)
(N22000505)
(GUJARAT)",537.31,03/2024,944.55
,17,"FOUR LANING OF VILUPPURAM TO PUDHUCHERRY
(DESIGN CH. KM. 00/000 TO KM. 29/000) SECTION OF NH-45A
ON
(NHAI)
(N24001428)
(TAMIL NADU)",998.70,11/2021,975.68
