Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Date
of
Approval
(MM/YYYY)","Cost Original
(Revised)
{Anticipated}
in Rs. Crore","Date of Commissioning Original
(Revised)
{Anticipated}
(MM/YYYY)"
,19,"CONSTRUCTION OF 4-LANE ACCESS CONTROLLED
GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM -
VIJAYAWADA
(NHAI)
(N24002236)
(TELANGANA)",3-2023,"832.62
(N.A.)
{832.62}","3/2025
(N.A.)
{3/2027}"
STEEL,20,"REPLACEMENT OF HOT LEVELLER-1 OF PLATE MILL AT BHILAI
STEEL PLANT
(SAIL)
(N12000137)
(CHHATTISGARH)",7-2024,"198.62
(N.A.)
{198.62}","7/2026
(N.A.)
{7/2026}"
,21,"INSTALLATION OF NEW BAR MILL AT DURGAPUR STEEL
PLANT
(SAIL)
(N12000138)
(WEST BENGAL)",9-2024,"2,115.44
(N.A.)
{2,115.44}","6/2027
(N.A.)
{6/2027}"
,22,"UP-GRADATION OF BLAST FURNACE NO. 3 AT DURGAPUR
STEEL PLANT
(SAIL)
(N12000139)
(WEST BENGAL)",9-2024,"758.09
(N.A.)
{758.09}","6/2026
(N.A.)
{6/2026}"
,23,"REVAMPING OF AIR POLLUTION CONTROL SYSTEMS OF SP-1
AT DURGAPUR STEEL PLANT
(SAIL)
(N12000140)
(WEST BENGAL)",11-2024,"196.40
(N.A.)
{196.40}","5/2026
(N.A.)
{5/2026}"
,24,"THIRD LADLE FURNACE IN SECONDARY REFINERY UNIT AT
IISCO STEEL PLANT
(SAIL)
(N12000141)
(WEST BENGAL)",11-2024,"227.96
(N.A.)
{227.96}","7/2026
(N.A.)
{7/2026}"
,25,"REPLACEMENT OF EXISTING GRINDERS IN CRM-I & II AT
BOKARO STEEL PLANT
(SAIL)
(N12000142)
(JHARKHAND)",1-2025,"211.94
(N.A.)
{211.94}","1/2027
(N.A.)
{1/2027}"
,26,"SECONDARY EMISSION CONTROL IN CONVERTERS OF SMS-II
AT BOKARO STEEL PLANT
(SAIL)
(N12000143)
(JHARKHAND)",1-2025,"207.13
(N.A.)
{207.13}","10/2026
(N.A.)
{10/2026}"
Grand Total,,,,"33,679.69
(-)
{33,679.69}",
