S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRES
(%)S"
1,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM
PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY","43,367","43,367","4,553",23.3
2,701263,RAJASTHAN REFINERY PROJECT,"43,129","79,459","68,838",91.6
3,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","26,553",92.8
4,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","32,995",96.5
5,604795,CBR 9 MMTPA PROJECT,"31,580","36,354","1,545",10.2
