Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,19,"CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY
TO 2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO
KM 40.00
(NHIDCL)
(N24001254)
(SIKKIM)",242.97,06/2022,246.91
,20,"2-LANING OF CHANGTONGYA TO LONGLENG ROAD OF
NH-702 (PKG-I)
(NHIDCL)
(N24001286)
(NAGALAND)",278.95,06/2022,166.29
,21,"RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-4
(KANAI-RONGARA)
(NHIDCL)
(N24001339)
(MEGHALAYA)",157.86,04/2022,152.95
,22,"REHABILITATION AND UPGRADATION OF NH-219 FROM
KM 58-600 TO KM 140-750 IN THE STATE OF ANDHRA
PRADES
(MoRTH)
(N24000301)
(ANDHRA PRADESH)",271.45,10/2015,240.23
,23,"REHABILITATION AND UPGRADATION OF END OF
AHMEDNAGAR BYPASS TO KHARWANDI KASAR
SECTION OF NH-222 FROM
(MoRTH)
(N24000332)
(MAHARASHTRA)",225.81,N.A.,118.84
,24,"4-LANNING OF WARANGA-MAHAGAON SECTION(KM
253.7000 TO 320.580)
(NHAI)
(N24000659)
(MAHARASHTRA)","1,059.73",03/2017,928.19
,25,"4-LANNING OF THALSERRY -MAHE BYPASS
(NHAI)
(N24000704)
(KERALA)","1,124.11",05/2020,"1,527.28"
,26,"CONSTRUCTION AND UPGRADATION OF EXISTING
ROAD TO 2 LANE WITH PAVED SHOULDER FROM KM
368.00 TO KM 399
(NHIDCL)
(N24000741)
(UTTARAKHAND)",274.31,11/2020,253.61
,27,"CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER
INCLUDING GEOMETRIC IMPROVEMENT FROM KM
16.000 TO KM 32.5
(NHIDCL)
(N24000768)
(SIKKIM)",290.05,10/2020,218.36
