Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,27,"ADDITIONAL WORKS (2VUPS, MR-10 JUNCTION FLYOVER
AND UNDERPASS) IN SIX LANE INDORE-DEWAS SECTION
OF N
(NHAI)
(N24001765)
(MADHYA PRADESH)",207.77,07/2024,147.24
,28,"BALANCE WORK OF 4L OF INDORE-GUJARAT/MP BORDER
FROM KM 106.210 TO KM 115.250 (START AND END POINT OF
(NHAI)
(N24001768)
(MADHYA PRADESH)",323.51,04/2023,246.27
,29,"CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED
EXPRESSWAY FROM KM 217.500 TO KM 254.430 OF
VADODARA MU
(NHAI)
(N24001788)
(GUJARAT)","2,271.86",12/2023,"2,655.78"
,30,"4L BYPASSES FOR JAGATPUR, B4ABUGANJ, UNCHAHAR,
ALAPUR BYPASS, AND SAI RIVER BRIDGE OF RAEBARELI-
PRA
(NHAI)
(N24001815)
(UTTAR PRADESH)","1,699.00",11/2024,"1,033.72"
,31,"UPGRADATION AND REHABILITATION TO TWO LANE WITH
PAVED SHOULDER OF GHAGARIYA- MUNABAO SECTION
FROM KM
(MoRTH)
(N24001869)
(RAJASTHAN)",235.15,08/2025,152.69
,32,"WIDENING OF RAEBARELI TO PRAYAGRAJ SECTION FROM
KM. 82.650 TO KM. 161.450 OF NH-30 AND LINK ROAD FRO
(NHAI)
(N24002085)
(UTTAR PRADESH)","1,470.93",03/2025,"1,088.30"
,33,"CHANGTONGYA TO LONGLENG ROAD PKG-2
(NHIDCL)
(N24001389)
(NAGALAND)",206.53,06/2022,119.25
,34,"JORAM ? KOLORIANG ROAD FROM EXISTING KM 70.00 TO
KM 88.700 (PKG-4)
(NHIDCL)
(N24001391)
(ARUNACHAL PRADESH)",294.04,04/2022,147.13
,35,"RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-3
(NHIDCL)
(N24001360)
(MEGHALAYA)",260.21,12/2022,239.35
