Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,38,"PANDHARPUR TO SANGOLA
(MoRTH)
(N24001102)
(MAHARASHTRA)",218.38,07/2019,176.99
,39,"PARLI PIMPLA DAHIGUDA
(MoRTH)
(N24001138)
(MAHARASHTRA)",205.72,06/2019,813.50
SOCIAL JUSTICE,,,,,
,40,"CENTRE FOR DISABILITY SPORTS
(CPWD)
(N38000001)
(MADHYA PRADESH)",170.99,03/2024,162.63
URBAN DEVELOPMENT,,,,,
,41,"KOCHI METRO RAIL PROJECT PHASE IB SECTION FROM
S N JUNCTION TO THRIPUNITHURA
(KMRCL)
(N28000159)
(KERALA)",355.70,09/2023,448.39
,42,"PUNE METRO RAIL PROJECT (PHASE 1)
(MMRC)
(N28000121)
(MAHARASHTRA)","11,420.00",11/2021,"13,088.19"
,,Total,"35,753.08",,"27,863.47"
