S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,39,"93,740","193,594","140,622"
2,Waste & Water,31,"9,664","9,688","5,739"
