S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Roads & Highways,1149,"1,067,985","1,094,635","377,508"
2,Railways,263,"731,511","884,365","586,201"
3,Urban Public Transport,29,"307,835","326,438","171,813"
4,Aviation & Aviation Infrastructure,26,"21,601","22,815","11,077"
5,Shipping,6,"14,405","14,445","10,820"
6,Logistics Infrastructure,2,"2,243","2,243",430
7,Inland Waterways,1,"5,369","5,061","4,029"
