S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,118,"159,638","157,376","49,200"
2,Steel,20,"19,267","22,505","8,653"
3,Metals & Mining,10,"14,436","16,873","6,490"
4,Construction,3,"1,546","1,546",719
