Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore","Progress
(%)"
"ROAD TRANSPORT AND
HIGHWAYS",,,,,,
,1,"FOUR LANING OF DIMAPUR KOHIMA ROAD FROM DESIGN
KM 123.840 TO KM 138.775 (EXISTING KM 124.100 TO KM 1
(NHIDCL)
(N24000686)
(NAGALAND)",373.07,09/2019,382.50,99.81
,2,"2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-
102B (PKG- 4A)
(NHIDCL)
(N24001272)
(MANIPUR)",167.95,06/2022,88.05,69.89
,3,"2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-
102B (PKG- 4B)
(NHIDCL)
(N24001273)
(MANIPUR)",177.76,08/2022,89.67,80.53
,4,"BALANCE WORK FOR REHABILITATION AND UP-
GRADATION OF SIDHI-SINGRAULI FROM KM 82.400 TO KM
187.993 SEC
(MoRTH)
(N24001966)
(MADHYA PRADESH)",529.44,04/2023,378.40,0
URBAN DEVELOPMENT,,,,,,
,5,"CONSTRUCTION OF PERMANENT CAMPUS OF CENTRAL
UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND
JADRANGAL (D
(CPWD)
(N28000154)
(HIMACHAL PRADESH)",512.34,11/2024,-,0
,,Total,"1,760.56",,938.62,
