S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Water Resources,39,"93,740","193,594","139,573"
2,Waste & Water,32,"9,938","9,962","5,975"
