Sector,Sl. No.,"Project Name
(Agency Name)
(Project Code)
(State Name)","Original
Cost
in Rs. Crore","Date of Commissioning
Original
(MM/YYYY)","Cumulative
Expenditure
in Rs. Crore"
,9,"MUMBAI HIGH NORTH REDEVELOPMENT PHASE-IV
(MAHARASHTRA)
(N16000358)
(ONGC)",3228.8,03-2022,3867.19
,10,"REVAMPING OF FACILITIES AT VIZAG TERMINAL
(ANDHRA PRADESH)
(N16000343)
(IOCL)",355,04-2022,249
,11,"ADDITIONAL STORAGE TANKS AT PARADIP
(ODISHA)
(N16000361)
(IOCL)",462.3,09-2021,493.72
,12,"CITY GAS DISTRIBUTION IN WEST BENGAL
(WEST BENGAL)
(N16000392)
(HPCL)",5830.2,03-2031,875.27
,13,"CGD PROJECT IN TONK, SAWAI MADHOPUR, DAUSA,
KARAULI
(RAJASTHAN)
(N16000496)
(HPCL)",1751,03-2030,301.39
,14,"AUGMENTATION OF FACILITIES AT THE EXISTING RAIPUR
DEPOT
(CHHATTISGARH)
(N16000413)
(HPCL)",456,03-2024,271.44
,15,"TRANSMISSION NETWORK EXPANSION IN GUJARAT TO
INCREASE ATC FROM ISTS: PART C
(MULTI STATE)
(N18000338)
(PGCIL)",186.19,03-2025,91.53
,16,"TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN
REGION EXPANSION SCHEME-XXVIII AND XXIX
(CHHATTISGARH)
(N18000355)
(PGCIL)",260.3,03-2025,197.79
,17,"BHENSARA 320 MW
(RAJASTHAN)
(N18000293)
(NTPC)",1221.73,07-2022,1139.42
