S.NO.,PROJECT ID,PROJECT NAME,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)","PHYSICAL PROGRES
(%)S"
1,709798,"ETHYLENE CRACKER PROJECT AT BINA REFINERY INCLUDING DOWNSTREAM
PETROCHEMICAL PLANTS AND EXPANSION OF REFINERY","43,367","43,367","6,104",33.5
2,701289,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,"34,627","36,225","28,007",94.3
3,400120,KG-DWN-98/2 CLUSTER - II DEVELOPMENT PROJECT - NELP BLOCK,"34,012","34,012","33,192",96.9
4,604795,CBR 9 MMTPA PROJECT,"31,580","36,354","1,615",10.2
5,701329,PETROCHEMICAL AND LUBE INTEGRATION PROJECT AT GUJARAT REFINERY,"18,936","17,825","13,901",89.6
