S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,117,"159,359","157,097","48,897"
2,Steel,20,"19,267","22,505","8,979"
3,Metals & Mining,7,"10,044","12,481","6,763"
4,Construction,2,899,899,194
