S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Oil & Gas,95,"355,051","384,190","188,847"
2,Transmission & Distribution,64,"153,555","159,518","57,184"
3,Electricity Generation,36,"275,176","336,179","165,130"
4,Energy Storage,18,"81,884","120,807","94,582"
