S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Coal,120,"190,252","187,990","48,935"
2,Steel,19,"18,161","21,400","9,472"
3,Metals & Mining,7,"10,044","12,481","7,284"
4,Construction,2,899,899,233
