S.NO.,SECTOR NAME,PROJECT COUNT,"ORIGINAL COST
(₹ crores)","REVISED COST
(₹ crores)","EXPENDITURE
(₹ crores)"
1,Education,29,"12,467","12,401","7,891"
2,Real Estate,6,"37,591","37,591",646
3,Healthcare,4,"4,848","5,186","2,795"
4,"Tourism, Hospitality & Wellness",1,573,"1,238",497
